path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\python\weblyzard_api\xml_content\parsers\xml_2013.py,W0401, wildcard-import,1,1, , , , , , , , 
src\python\weblyzard_api\client\jeremia.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\weblyzard_api\client\openrdf\__init__.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\python\weblyzard_api\xml_content\parsers\xml2005.py,W0401, wildcard-import,1,1, , , , , , , , 
src\python\weblyzard_api\client\opinion_mining.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\python\weblyzard_api\client\__init__.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\python\weblyzard_api\util\cache.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\python\weblyzard_api\client\recognize\ng.py,C0301, line-too-long,1,1, , , , , , , , 
doc\conf.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\weblyzard_api\model\xml_content.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\python\weblyzard_api\xml_content\parsers\json_10.py,W0401, wildcard-import,1,1, , , , , , , , 
src\python\weblyzard_api\client\openrdf\wl_upload_repository.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\python\weblyzard_api\model\document.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\python\weblyzard_api\client\textqualityclient\client_text_quality.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
src\python\weblyzard_api\client\joanna.py,R0912, too-many-branches,1,1, , , , , , , , 
src\python\weblyzard_api\client\joanna_argparse.py,R0912, too-many-branches,1,1, , , , , , , , 
src\python\weblyzard_api\client\wlt_api_client.py,R0912, too-many-branches,1,1, , , , , , , , 
src\python\weblyzard_api\client\emotion_classifier_client.py,W0718, broad-exception-caught,1,1, , , , , , , , 
python-examples\keywords\compute-keywords.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\weblyzard_api\client\jeremia_ng.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\python\weblyzard_api\model\parsers\__init__.py,R0915, too-many-statements,1,1, , , , , , , , 
src\python\weblyzard_api\client\fuseki.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\python\weblyzard_api\client\classifier.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\weblyzard_api\client\projects\media_criticism.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\weblyzard_api\client\rdf.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\python\weblyzard_api\model\__init__.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\python\weblyzard_api\xml_content\parsers\xml_deprecated.py,W0401, wildcard-import,1,1, , , , , , , , 
src\python\weblyzard_api\client\recognize\__init__.py,R0912, too-many-branches,1,1, , , , , , , , 
src\python\weblyzard_api\client\jesaja.py,C0301, line-too-long,4,0, , , , , , , , 
src\python\weblyzard_api\client\jeremia.py,W0718, broad-exception-caught,1,0, , , , , , , , 
src\python\weblyzard_api\client\openrdf\__init__.py,C0301, line-too-long,6,0, , , , , , , , 
src\python\weblyzard_api\client\openrdf\__init__.py,W0718, broad-exception-caught,3,0, , , , , , , , 
src\python\weblyzard_api\util\cache.py,W0718, broad-exception-caught,4,0, , , , , , , , 
src\python\weblyzard_api\model\xml_content.py,C0301, line-too-long,2,0, , , , , , , , 
src\python\weblyzard_api\model\xml_content.py,W0718, broad-exception-caught,1,0, , , , , , , , 
src\python\weblyzard_api\client\videolyzard.py,C0301, line-too-long,6,0, , , , , , , , 
src\python\weblyzard_api\model\document.py,R0912, too-many-branches,1,0, , , , , , , , 
src\python\weblyzard_api\model\document.py,W0718, broad-exception-caught,1,0, , , , , , , , 
src\python\weblyzard_api\client\textqualityclient\client_text_quality.py,W0718, broad-exception-caught,1,0, , , , , , , , 
src\python\weblyzard_api\client\joanna_argparse.py,R0915, too-many-statements,1,0, , , , , , , , 
src\python\weblyzard_api\client\wlt_api_client.py,C0301, line-too-long,1,0, , , , , , , , 
src\python\weblyzard_api\client\wlt_api_client.py,W0718, broad-exception-caught,4,0, , , , , , , , 
src\python\weblyzard_api\xml_content\parsers\__init__.py,R0801, duplicate-code,19,0, , , , , , , , 
src\python\weblyzard_api\client\jeremia_ng.py,C0301, line-too-long,1,0, , , , , , , , 
src\python\weblyzard_api\client\jesaja_ng.py,C0301, line-too-long,3,0, , , , , , , , 
src\python\weblyzard_api\model\exceptions.py,W0107,unnecessary-pass,5,0, , , , , , , , 
src\python\weblyzard_api\model\parsers\__init__.py,C0301, line-too-long,3,0, , , , , , , , 
src\python\weblyzard_api\model\parsers\__init__.py,C0325, superfluous-parens,1,0, , , , , , , , 
src\python\weblyzard_api\model\parsers\__init__.py,R0912, too-many-branches,1,0, , , , , , , , 
src\python\weblyzard_api\model\parsers\__init__.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
src\python\weblyzard_api\model\parsers\__init__.py,W0718, broad-exception-caught,12,0, , , , , , , , 
src\python\weblyzard_api\client\fuseki.py,C0325, superfluous-parens,3,0, , , , , , , , 
